Left Wing,Center Back,Center Forward,Left Back,Right Back
54+2,37+2,56+2,38+2,38+2
39+2,59+2,40+2,54+2,54+2
60+2,38+2,60+2,43+2,43+2
59+2,49+2,60+2,50+2,50+2
53+2,57+2,52+2,58+2,58+2
58+2,56+2,59+2,55+2,55+2
46+2,60+2,46+2,57+2,57+2
52+2,56+2,48+2,60+2,60+2
56+2,36+2,57+2,38+2,38+2
57+2,37+2,58+2,40+2,40+2
56+2,60+2,55+2,59+2,59+2
36+2,60+2,35+2,54+2,54+2
52+2,61+2,51+2,57+2,57+2
56+2,41+2,58+2,43+2,43+2
54+2,56+2,50+2,59+2,59+2
60+2,31+2,59+2,39+2,39+2
60+2,40+2,58+2,47+2,47+2
,,,,
60+2,36+2,59+2,42+2,42+2
58+2,51+2,58+2,53+2,53+2
61+2,47+2,60+2,50+2,50+2
59+2,42+2,57+2,48+2,48+2
57+2,33+2,58+2,38+2,38+2
43+2,59+2,42+2,56+2,56+2
58+2,58+2,55+2,59+2,59+2
59+2,38+2,58+2,46+2,46+2
55+2,37+2,57+2,38+2,38+2
61+2,38+2,60+2,44+2,44+2
,,,,
47+2,60+2,47+2,57+2,57+2
,,,,
,,,,
50+2,60+2,50+2,58+2,58+2
60+2,43+2,60+2,49+2,49+2
43+2,60+2,42+2,55+2,55+2
36+2,59+2,37+2,52+2,52+2
59+2,46+2,59+2,52+2,52+2
53+2,60+2,53+2,58+2,58+2
,,,,
,,,,
61+2,43+2,60+2,48+2,48+2
,,,,
60+2,45+2,59+2,48+2,48+2
60+2,34+2,61+2,42+2,42+2
51+2,60+2,49+2,59+2,59+2
34+2,59+2,35+2,50+2,50+2
52+2,59+2,52+2,56+2,56+2
56+2,42+2,58+2,42+2,42+2
44+2,60+2,43+2,56+2,56+2
59+2,40+2,56+2,49+2,49+2
,,,,
61+2,47+2,60+2,55+2,55+2
35+2,59+2,37+2,52+2,52+2
38+2,60+2,38+2,54+2,54+2
59+2,35+2,60+2,38+2,38+2
59+2,48+2,57+2,54+2,54+2
52+2,57+2,49+2,60+2,60+2
61+2,44+2,58+2,51+2,51+2
53+2,43+2,56+2,40+2,40+2
,,,,
,,,,
49+2,42+2,53+2,36+2,36+2
57+2,31+2,59+2,36+2,36+2
60+2,41+2,59+2,45+2,45+2
,,,,
60+2,44+2,59+2,49+2,49+2
,,,,
,,,,
59+2,54+2,59+2,54+2,54+2
61+2,31+2,62+2,41+2,41+2
46+2,59+2,45+2,57+2,57+2
58+2,50+2,58+2,52+2,52+2
,,,,
58+2,57+2,58+2,57+2,57+2
52+2,59+2,50+2,59+2,59+2
50+2,60+2,48+2,58+2,58+2
,,,,
57+2,57+2,55+2,59+2,59+2
61+2,45+2,60+2,49+2,49+2
42+2,60+2,44+2,51+2,51+2
63+2,55+2,62+2,60+2,60+2
57+2,50+2,58+2,49+2,49+2
53+2,57+2,50+2,60+2,60+2
58+2,46+2,56+2,52+2,52+2
,,,,
59+2,49+2,58+2,53+2,53+2
59+2,44+2,57+2,50+2,50+2
49+2,57+2,46+2,59+2,59+2
57+2,40+2,59+2,42+2,42+2
,,,,
57+2,54+2,53+2,59+2,59+2
59+2,53+2,57+2,57+2,57+2
,,,,
,,,,
,,,,
57+2,53+2,58+2,55+2,55+2
,,,,
60+2,40+2,60+2,46+2,46+2
42+2,60+2,41+2,56+2,56+2
59+2,33+2,59+2,40+2,40+2
62+2,55+2,59+2,57+2,57+2
63+2,43+2,61+2,52+2,52+2
62+2,58+2,61+2,60+2,60+2
57+2,57+2,57+2,60+2,60+2
57+2,57+2,55+2,60+2,60+2
49+2,59+2,50+2,57+2,57+2
57+2,50+2,57+2,51+2,51+2
50+2,57+2,48+2,59+2,59+2
,,,,
57+2,60+2,55+2,61+2,61+2
50+2,60+2,50+2,57+2,57+2
37+2,59+2,37+2,52+2,52+2
60+2,36+2,58+2,42+2,42+2
55+2,42+2,56+2,40+2,40+2
,,,,
55+2,36+2,57+2,37+2,37+2
58+2,33+2,58+2,39+2,39+2
62+2,39+2,60+2,48+2,48+2
45+2,60+2,45+2,57+2,57+2
,,,,
,,,,
,,,,
,,,,
49+2,61+2,49+2,57+2,57+2
54+2,58+2,51+2,59+2,59+2
61+2,48+2,59+2,52+2,52+2
59+2,42+2,57+2,48+2,48+2
63+2,43+2,62+2,50+2,50+2
57+2,37+2,58+2,40+2,40+2
60+2,55+2,59+2,59+2,59+2
57+2,58+2,55+2,59+2,59+2
52+2,64+2,52+2,59+2,59+2
60+2,41+2,59+2,44+2,44+2
50+2,57+2,47+2,59+2,59+2
58+2,61+2,58+2,60+2,60+2
59+2,43+2,59+2,48+2,48+2
58+2,57+2,56+2,60+2,60+2
,,,,
55+2,63+2,55+2,62+2,62+2
39+2,59+2,39+2,55+2,55+2
62+2,54+2,60+2,60+2,60+2
58+2,35+2,58+2,39+2,39+2
54+2,59+2,55+2,59+2,59+2
58+2,40+2,59+2,43+2,43+2
61+2,42+2,61+2,46+2,46+2
60+2,35+2,58+2,44+2,44+2
62+2,36+2,61+2,43+2,43+2
60+2,56+2,58+2,58+2,58+2
58+2,47+2,59+2,48+2,48+2
52+2,57+2,49+2,59+2,59+2
59+2,55+2,57+2,59+2,59+2
54+2,59+2,53+2,61+2,61+2
39+2,59+2,40+2,56+2,56+2
52+2,60+2,51+2,58+2,58+2
,,,,
57+2,58+2,57+2,60+2,60+2
,,,,
58+2,34+2,58+2,38+2,38+2
57+2,45+2,58+2,46+2,46+2
38+2,59+2,38+2,54+2,54+2
59+2,56+2,57+2,60+2,60+2
62+2,48+2,60+2,48+2,48+2
57+2,56+2,54+2,59+2,59+2
60+2,39+2,59+2,42+2,42+2
53+2,59+2,52+2,60+2,60+2
61+2,43+2,60+2,48+2,48+2
60+2,31+2,59+2,37+2,37+2
60+2,47+2,59+2,53+2,53+2
61+2,41+2,60+2,48+2,48+2
34+2,59+2,33+2,53+2,53+2
59+2,55+2,55+2,60+2,60+2
58+2,53+2,58+2,56+2,56+2
59+2,59+2,59+2,58+2,58+2
,,,,
59+2,44+2,58+2,51+2,51+2
59+2,54+2,59+2,56+2,56+2
62+2,36+2,61+2,44+2,44+2
38+2,59+2,39+2,52+2,52+2
58+2,49+2,56+2,57+2,57+2
49+2,60+2,50+2,57+2,57+2
,,,,
54+2,38+2,57+2,38+2,38+2
60+2,38+2,58+2,47+2,47+2
59+2,57+2,58+2,59+2,59+2
58+2,59+2,57+2,61+2,61+2
,,,,
51+2,62+2,49+2,59+2,59+2
60+2,50+2,58+2,53+2,53+2
57+2,59+2,55+2,60+2,60+2
34+2,59+2,37+2,49+2,49+2
43+2,59+2,40+2,57+2,57+2
60+2,36+2,57+2,44+2,44+2
58+2,61+2,57+2,62+2,62+2
,,,,
42+2,60+2,43+2,56+2,56+2
,,,,
54+2,51+2,55+2,53+2,53+2
59+2,45+2,58+2,51+2,51+2
59+2,38+2,58+2,44+2,44+2
62+2,34+2,62+2,41+2,41+2
38+2,59+2,36+2,55+2,55+2
54+2,58+2,53+2,58+2,58+2
60+2,45+2,59+2,49+2,49+2
55+2,61+2,55+2,59+2,59+2
59+2,49+2,58+2,53+2,53+2
57+2,56+2,54+2,59+2,59+2
59+2,48+2,57+2,53+2,53+2
,,,,
53+2,60+2,53+2,59+2,59+2
35+2,59+2,35+2,52+2,52+2
60+2,40+2,58+2,46+2,46+2
55+2,40+2,57+2,40+2,40+2
59+2,33+2,59+2,37+2,37+2
57+2,61+2,56+2,60+2,60+2
51+2,37+2,54+2,37+2,37+2
50+2,60+2,47+2,59+2,59+2
56+2,46+2,57+2,46+2,46+2
57+2,57+2,57+2,55+2,55+2
55+2,40+2,57+2,40+2,40+2
57+2,33+2,59+2,38+2,38+2
59+2,42+2,58+2,48+2,48+2
38+2,60+2,38+2,55+2,55+2
57+2,35+2,59+2,39+2,39+2
40+2,59+2,40+2,54+2,54+2
56+2,47+2,55+2,51+2,51+2
48+2,59+2,45+2,59+2,59+2
41+2,59+2,41+2,57+2,57+2
38+2,60+2,38+2,52+2,52+2
56+2,58+2,54+2,60+2,60+2
,,,,
60+2,40+2,60+2,43+2,43+2
56+2,61+2,57+2,60+2,60+2
58+2,39+2,59+2,41+2,41+2
57+2,55+2,57+2,57+2,57+2
54+2,41+2,56+2,39+2,39+2
,,,,
,,,,
,,,,
56+2,57+2,53+2,60+2,60+2
51+2,61+2,49+2,60+2,60+2
46+2,60+2,44+2,59+2,59+2
52+2,60+2,50+2,60+2,60+2
56+2,60+2,56+2,61+2,61+2
60+2,50+2,59+2,56+2,56+2
,,,,
56+2,60+2,55+2,60+2,60+2
59+2,47+2,57+2,55+2,55+2
,,,,
60+2,40+2,58+2,47+2,47+2
62+2,37+2,61+2,44+2,44+2
52+2,63+2,51+2,60+2,60+2
57+2,44+2,58+2,44+2,44+2
51+2,59+2,48+2,60+2,60+2
50+2,60+2,49+2,60+2,60+2
61+2,28+2,59+2,40+2,40+2
59+2,48+2,59+2,54+2,54+2
54+2,55+2,56+2,52+2,52+2
53+2,39+2,56+2,36+2,36+2
54+2,61+2,54+2,60+2,60+2
61+2,32+2,59+2,40+2,40+2
58+2,43+2,59+2,44+2,44+2
,,,,
59+2,50+2,58+2,52+2,52+2
60+2,55+2,59+2,58+2,58+2
59+2,44+2,55+2,52+2,52+2
56+2,61+2,55+2,60+2,60+2
34+2,60+2,35+2,54+2,54+2
61+2,56+2,58+2,60+2,60+2
59+2,52+2,58+2,55+2,55+2
54+2,59+2,54+2,57+2,57+2
55+2,59+2,56+2,58+2,58+2
61+2,36+2,58+2,44+2,44+2
,,,,
59+2,38+2,59+2,43+2,43+2
55+2,38+2,57+2,38+2,38+2
58+2,37+2,55+2,45+2,45+2
47+2,60+2,47+2,58+2,58+2
52+2,48+2,56+2,44+2,44+2
52+2,61+2,50+2,60+2,60+2
33+2,59+2,34+2,51+2,51+2
40+2,59+2,40+2,57+2,57+2
56+2,36+2,57+2,38+2,38+2
52+2,58+2,51+2,55+2,55+2
58+2,60+2,57+2,60+2,60+2
39+2,59+2,41+2,54+2,54+2
46+2,60+2,44+2,57+2,57+2
63+2,57+2,62+2,60+2,60+2
43+2,59+2,42+2,54+2,54+2
58+2,34+2,60+2,39+2,39+2
59+2,42+2,57+2,47+2,47+2
,,,,
,,,,
59+2,53+2,58+2,54+2,54+2
61+2,35+2,61+2,40+2,40+2
57+2,55+2,54+2,60+2,60+2
49+2,62+2,48+2,58+2,58+2
59+2,59+2,59+2,59+2,59+2
39+2,60+2,39+2,55+2,55+2
57+2,59+2,56+2,58+2,58+2
47+2,60+2,48+2,55+2,55+2
57+2,59+2,56+2,59+2,59+2
59+2,39+2,58+2,46+2,46+2
,,,,
53+2,59+2,51+2,60+2,60+2
50+2,57+2,47+2,59+2,59+2
59+2,54+2,59+2,55+2,55+2
60+2,44+2,59+2,48+2,48+2
36+2,60+2,36+2,54+2,54+2
,,,,
38+2,59+2,38+2,54+2,54+2
,,,,
56+2,58+2,56+2,58+2,58+2
60+2,39+2,58+2,44+2,44+2
40+2,59+2,40+2,56+2,56+2
54+2,61+2,52+2,60+2,60+2
,,,,
,,,,
60+2,46+2,59+2,51+2,51+2
56+2,60+2,55+2,59+2,59+2
56+2,48+2,58+2,46+2,46+2
,,,,
61+2,39+2,59+2,46+2,46+2
55+2,62+2,55+2,59+2,59+2
,,,,
60+2,30+2,58+2,42+2,42+2
59+2,51+2,59+2,53+2,53+2
52+2,53+2,48+2,59+2,59+2
59+2,48+2,59+2,54+2,54+2
54+2,36+2,57+2,36+2,36+2
34+2,59+2,34+2,53+2,53+2
49+2,59+2,49+2,56+2,56+2
60+2,34+2,58+2,43+2,43+2
61+2,35+2,62+2,40+2,40+2
60+2,36+2,58+2,43+2,43+2
57+2,36+2,58+2,39+2,39+2
60+2,38+2,58+2,46+2,46+2
56+2,58+2,56+2,58+2,58+2
29+2,60+2,32+2,46+2,46+2
55+2,60+2,55+2,58+2,58+2
56+2,49+2,58+2,54+2,54+2
56+2,58+2,54+2,59+2,59+2
56+2,37+2,58+2,40+2,40+2
,,,,
52+2,57+2,49+2,60+2,60+2
59+2,40+2,57+2,47+2,47+2
,,,,
57+2,60+2,56+2,60+2,60+2
59+2,57+2,58+2,60+2,60+2
58+2,46+2,58+2,50+2,50+2
55+2,58+2,56+2,58+2,58+2
32+2,60+2,31+2,54+2,54+2
41+2,60+2,41+2,55+2,55+2
50+2,59+2,47+2,59+2,59+2
55+2,38+2,58+2,38+2,38+2
53+2,41+2,56+2,39+2,39+2
61+2,39+2,59+2,45+2,45+2
53+2,59+2,53+2,58+2,58+2
,,,,
57+2,57+2,57+2,57+2,57+2
,,,,
61+2,37+2,59+2,43+2,43+2
60+2,53+2,60+2,56+2,56+2
55+2,56+2,54+2,59+2,59+2
42+2,60+2,42+2,52+2,52+2
53+2,42+2,56+2,41+2,41+2
45+2,60+2,44+2,52+2,52+2
60+2,40+2,59+2,46+2,46+2
,,,,
60+2,53+2,60+2,56+2,56+2
59+2,56+2,58+2,59+2,59+2
58+2,56+2,56+2,59+2,59+2
36+2,59+2,35+2,53+2,53+2
53+2,59+2,50+2,60+2,60+2
52+2,60+2,52+2,58+2,58+2
,,,,
44+2,60+2,47+2,55+2,55+2
55+2,58+2,53+2,60+2,60+2
54+2,57+2,50+2,60+2,60+2
,,,,
39+2,60+2,39+2,56+2,56+2
60+2,44+2,57+2,48+2,48+2
58+2,57+2,57+2,61+2,61+2
61+2,47+2,58+2,54+2,54+2
57+2,61+2,57+2,59+2,59+2
60+2,33+2,59+2,41+2,41+2
54+2,56+2,50+2,59+2,59+2
60+2,34+2,58+2,43+2,43+2
34+2,60+2,36+2,51+2,51+2
50+2,59+2,48+2,59+2,59+2
56+2,46+2,56+2,50+2,50+2
60+2,58+2,59+2,60+2,60+2
60+2,48+2,61+2,52+2,52+2
58+2,48+2,57+2,51+2,51+2
50+2,62+2,48+2,59+2,59+2
43+2,60+2,42+2,57+2,57+2
60+2,62+2,59+2,61+2,61+2
39+2,60+2,39+2,55+2,55+2
60+2,45+2,60+2,45+2,45+2
59+2,52+2,60+2,54+2,54+2
54+2,38+2,56+2,39+2,39+2
54+2,56+2,52+2,59+2,59+2
59+2,56+2,59+2,59+2,59+2
61+2,30+2,59+2,40+2,40+2
62+2,37+2,60+2,44+2,44+2
61+2,47+2,60+2,47+2,47+2
53+2,57+2,51+2,59+2,59+2
43+2,60+2,42+2,54+2,54+2
,,,,
,,,,
,,,,
56+2,54+2,53+2,60+2,60+2
59+2,42+2,58+2,47+2,47+2
42+2,59+2,41+2,55+2,55+2
58+2,30+2,59+2,36+2,36+2
54+2,64+2,54+2,62+2,62+2
53+2,57+2,54+2,58+2,58+2
60+2,51+2,59+2,56+2,56+2
61+2,58+2,60+2,59+2,59+2
61+2,49+2,59+2,52+2,52+2
60+2,38+2,58+2,46+2,46+2
58+2,38+2,58+2,41+2,41+2
,,,,
56+2,57+2,53+2,60+2,60+2
57+2,51+2,58+2,50+2,50+2
50+2,60+2,47+2,60+2,60+2
54+2,62+2,55+2,61+2,61+2
58+2,56+2,56+2,59+2,59+2
52+2,55+2,47+2,59+2,59+2
53+2,61+2,49+2,60+2,60+2
56+2,57+2,57+2,57+2,57+2
61+2,35+2,60+2,43+2,43+2
59+2,55+2,57+2,59+2,59+2
60+2,36+2,58+2,43+2,43+2
55+2,46+2,56+2,47+2,47+2
59+2,47+2,59+2,50+2,50+2
43+2,59+2,43+2,53+2,53+2
38+2,60+2,41+2,53+2,53+2
56+2,60+2,53+2,59+2,59+2
58+2,42+2,58+2,46+2,46+2
57+2,54+2,56+2,54+2,54+2
60+2,37+2,58+2,44+2,44+2
54+2,44+2,56+2,43+2,43+2
55+2,56+2,55+2,57+2,57+2
35+2,59+2,35+2,53+2,53+2
60+2,45+2,60+2,48+2,48+2
,,,,
58+2,59+2,57+2,58+2,58+2
57+2,37+2,58+2,40+2,40+2
,,,,
41+2,59+2,41+2,55+2,55+2
62+2,40+2,60+2,46+2,46+2
52+2,42+2,56+2,40+2,40+2
39+2,59+2,40+2,55+2,55+2
53+2,40+2,56+2,40+2,40+2
53+2,57+2,52+2,59+2,59+2
59+2,57+2,57+2,59+2,59+2
60+2,59+2,60+2,59+2,59+2
59+2,46+2,60+2,47+2,47+2
58+2,41+2,57+2,41+2,41+2
35+2,60+2,36+2,53+2,53+2
51+2,59+2,51+2,56+2,56+2
,,,,
59+2,58+2,58+2,61+2,61+2
61+2,34+2,60+2,41+2,41+2
42+2,59+2,43+2,54+2,54+2
56+2,59+2,56+2,57+2,57+2
55+2,54+2,55+2,52+2,52+2
63+2,34+2,61+2,42+2,42+2
53+2,57+2,49+2,60+2,60+2
58+2,42+2,57+2,44+2,44+2
57+2,56+2,57+2,58+2,58+2
,,,,
37+2,59+2,37+2,53+2,53+2
52+2,59+2,49+2,60+2,60+2
52+2,61+2,49+2,59+2,59+2
60+2,43+2,60+2,49+2,49+2
56+2,57+2,54+2,59+2,59+2
39+2,59+2,41+2,50+2,50+2
53+2,42+2,55+2,43+2,43+2
55+2,60+2,55+2,60+2,60+2
59+2,53+2,59+2,54+2,54+2
57+2,53+2,57+2,54+2,54+2
37+2,59+2,39+2,53+2,53+2
56+2,57+2,53+2,60+2,60+2
59+2,41+2,58+2,47+2,47+2
62+2,47+2,62+2,50+2,50+2
61+2,39+2,59+2,43+2,43+2
59+2,35+2,59+2,39+2,39+2
56+2,37+2,58+2,40+2,40+2
35+2,59+2,35+2,51+2,51+2
60+2,60+2,61+2,60+2,60+2
,,,,
57+2,62+2,59+2,60+2,60+2
44+2,60+2,44+2,55+2,55+2
61+2,40+2,59+2,47+2,47+2
57+2,34+2,58+2,38+2,38+2
,,,,
60+2,49+2,59+2,51+2,51+2
58+2,56+2,56+2,58+2,58+2
43+2,59+2,42+2,55+2,55+2
,,,,
52+2,62+2,54+2,51+2,51+2
58+2,58+2,56+2,60+2,60+2
56+2,57+2,56+2,55+2,55+2
60+2,37+2,59+2,45+2,45+2
40+2,60+2,39+2,53+2,53+2
61+2,35+2,59+2,41+2,41+2
58+2,32+2,59+2,37+2,37+2
50+2,61+2,50+2,59+2,59+2
57+2,37+2,58+2,39+2,39+2
54+2,57+2,51+2,60+2,60+2
56+2,39+2,57+2,39+2,39+2
34+2,60+2,35+2,53+2,53+2
51+2,48+2,55+2,42+2,42+2
61+2,34+2,58+2,42+2,42+2
58+2,58+2,58+2,57+2,57+2
,,,,
49+2,59+2,50+2,55+2,55+2
54+2,54+2,51+2,60+2,60+2
45+2,60+2,47+2,56+2,56+2
59+2,50+2,56+2,54+2,54+2
60+2,38+2,59+2,45+2,45+2
40+2,60+2,39+2,54+2,54+2
60+2,48+2,60+2,52+2,52+2
57+2,56+2,56+2,60+2,60+2
37+2,59+2,37+2,52+2,52+2
43+2,60+2,42+2,55+2,55+2
52+2,57+2,49+2,60+2,60+2
61+2,35+2,60+2,43+2,43+2
58+2,49+2,57+2,54+2,54+2
61+2,39+2,58+2,45+2,45+2
54+2,36+2,56+2,37+2,37+2
53+2,59+2,51+2,59+2,59+2
61+2,59+2,60+2,60+2,60+2
58+2,51+2,58+2,53+2,53+2
56+2,38+2,59+2,39+2,39+2
58+2,41+2,55+2,49+2,49+2
55+2,57+2,53+2,59+2,59+2
59+2,37+2,60+2,40+2,40+2
49+2,60+2,49+2,57+2,57+2
58+2,39+2,58+2,42+2,42+2
56+2,62+2,56+2,58+2,58+2
56+2,60+2,56+2,59+2,59+2
60+2,35+2,58+2,43+2,43+2
55+2,56+2,56+2,58+2,58+2
56+2,62+2,55+2,62+2,62+2
60+2,48+2,59+2,52+2,52+2
56+2,37+2,58+2,38+2,38+2
57+2,37+2,58+2,40+2,40+2
51+2,61+2,51+2,59+2,59+2
61+2,55+2,60+2,59+2,59+2
48+2,61+2,47+2,58+2,58+2
61+2,57+2,59+2,62+2,62+2
59+2,47+2,58+2,51+2,51+2
58+2,50+2,58+2,52+2,52+2
38+2,60+2,38+2,55+2,55+2
57+2,57+2,57+2,58+2,58+2
44+2,60+2,43+2,56+2,56+2
61+2,55+2,59+2,59+2,59+2
58+2,53+2,58+2,54+2,54+2
58+2,60+2,57+2,60+2,60+2
44+2,60+2,44+2,54+2,54+2
47+2,60+2,47+2,56+2,56+2
43+2,59+2,43+2,58+2,58+2
61+2,40+2,61+2,43+2,43+2
54+2,59+2,53+2,60+2,60+2
33+2,60+2,32+2,51+2,51+2
59+2,57+2,58+2,60+2,60+2
60+2,56+2,58+2,60+2,60+2
44+2,60+2,46+2,55+2,55+2
,,,,
57+2,53+2,58+2,52+2,52+2
49+2,59+2,46+2,60+2,60+2
60+2,51+2,60+2,55+2,55+2
,,,,
60+2,34+2,59+2,39+2,39+2
57+2,42+2,57+2,47+2,47+2
52+2,60+2,51+2,60+2,60+2
55+2,58+2,53+2,59+2,59+2
57+2,58+2,55+2,59+2,59+2
,,,,
59+2,36+2,60+2,39+2,39+2
40+2,60+2,39+2,54+2,54+2
57+2,35+2,58+2,38+2,38+2
54+2,34+2,56+2,36+2,36+2
59+2,53+2,56+2,58+2,58+2
61+2,51+2,59+2,53+2,53+2
54+2,38+2,55+2,38+2,38+2
46+2,60+2,45+2,58+2,58+2
59+2,41+2,58+2,46+2,46+2
59+2,51+2,58+2,56+2,56+2
57+2,59+2,56+2,62+2,62+2
60+2,56+2,60+2,57+2,57+2
,,,,
53+2,59+2,53+2,59+2,59+2
58+2,51+2,58+2,55+2,55+2
59+2,37+2,60+2,40+2,40+2
55+2,38+2,57+2,39+2,39+2
34+2,60+2,36+2,54+2,54+2
59+2,40+2,59+2,43+2,43+2
60+2,43+2,59+2,49+2,49+2
43+2,59+2,43+2,55+2,55+2
58+2,45+2,58+2,51+2,51+2
56+2,41+2,57+2,42+2,42+2
55+2,58+2,55+2,58+2,58+2
50+2,58+2,47+2,59+2,59+2
56+2,63+2,53+2,64+2,64+2
36+2,58+2,37+2,52+2,52+2
57+2,54+2,57+2,54+2,54+2
58+2,54+2,56+2,57+2,57+2
59+2,37+2,56+2,44+2,44+2
58+2,38+2,59+2,42+2,42+2
54+2,54+2,55+2,54+2,54+2
55+2,58+2,56+2,57+2,57+2
,,,,
43+2,58+2,41+2,59+2,59+2
,,,,
57+2,42+2,57+2,44+2,44+2
54+2,32+2,57+2,36+2,36+2
53+2,59+2,51+2,59+2,59+2
58+2,47+2,58+2,50+2,50+2
56+2,35+2,55+2,42+2,42+2
59+2,33+2,57+2,42+2,42+2
60+2,37+2,60+2,41+2,41+2
59+2,40+2,58+2,45+2,45+2
55+2,46+2,55+2,49+2,49+2
,,,,
50+2,62+2,47+2,58+2,58+2
59+2,59+2,59+2,61+2,61+2
59+2,37+2,60+2,40+2,40+2
51+2,59+2,50+2,58+2,58+2
60+2,34+2,59+2,42+2,42+2
50+2,59+2,49+2,57+2,57+2
,,,,
56+2,56+2,55+2,58+2,58+2
58+2,55+2,56+2,57+2,57+2
,,,,
59+2,31+2,59+2,38+2,38+2
58+2,56+2,56+2,58+2,58+2
,,,,
55+2,39+2,55+2,41+2,41+2
55+2,56+2,51+2,58+2,58+2
55+2,38+2,57+2,41+2,41+2
47+2,58+2,45+2,56+2,56+2
54+2,55+2,54+2,57+2,57+2
62+2,37+2,59+2,44+2,44+2
53+2,57+2,53+2,55+2,55+2
57+2,56+2,56+2,58+2,58+2
59+2,41+2,58+2,47+2,47+2
56+2,59+2,55+2,58+2,58+2
59+2,51+2,59+2,55+2,55+2
58+2,45+2,57+2,50+2,50+2
49+2,61+2,50+2,56+2,56+2
40+2,58+2,40+2,55+2,55+2
,,,,
49+2,59+2,47+2,59+2,59+2
37+2,58+2,38+2,53+2,53+2
37+2,58+2,39+2,52+2,52+2
,,,,
54+2,57+2,50+2,59+2,59+2
54+2,57+2,53+2,58+2,58+2
57+2,34+2,56+2,42+2,42+2
54+2,57+2,51+2,59+2,59+2
52+2,58+2,49+2,59+2,59+2
58+2,48+2,56+2,52+2,52+2
31+2,58+2,31+2,52+2,52+2
,,,,
53+2,59+2,53+2,59+2,59+2
37+2,58+2,36+2,53+2,53+2
54+2,56+2,52+2,58+2,58+2
,,,,
53+2,58+2,50+2,59+2,59+2
,,,,
61+2,41+2,60+2,47+2,47+2
,,,,
39+2,59+2,38+2,54+2,54+2
,,,,
60+2,45+2,59+2,48+2,48+2
57+2,36+2,58+2,43+2,43+2
,,,,
46+2,59+2,46+2,56+2,56+2
59+2,57+2,58+2,58+2,58+2
60+2,39+2,58+2,46+2,46+2
53+2,35+2,55+2,36+2,36+2
38+2,59+2,38+2,55+2,55+2
58+2,53+2,59+2,55+2,55+2
55+2,60+2,56+2,60+2,60+2
60+2,50+2,57+2,54+2,54+2
,,,,
52+2,55+2,48+2,59+2,59+2
59+2,39+2,59+2,46+2,46+2
55+2,54+2,56+2,54+2,54+2
44+2,58+2,42+2,55+2,55+2
56+2,55+2,54+2,58+2,58+2
55+2,56+2,54+2,56+2,56+2
56+2,35+2,58+2,38+2,38+2
59+2,43+2,57+2,49+2,49+2
56+2,57+2,56+2,57+2,57+2
59+2,48+2,59+2,50+2,50+2
58+2,36+2,56+2,46+2,46+2
,,,,
61+2,36+2,60+2,45+2,45+2
47+2,61+2,46+2,59+2,59+2
58+2,57+2,57+2,58+2,58+2
53+2,57+2,51+2,58+2,58+2
36+2,59+2,36+2,57+2,57+2
59+2,47+2,57+2,52+2,52+2
58+2,59+2,57+2,59+2,59+2
38+2,58+2,38+2,52+2,52+2
,,,,
39+2,58+2,40+2,54+2,54+2
43+2,59+2,43+2,54+2,54+2
40+2,58+2,41+2,54+2,54+2
49+2,59+2,47+2,55+2,55+2
56+2,49+2,57+2,48+2,48+2
60+2,35+2,58+2,42+2,42+2
52+2,56+2,50+2,58+2,58+2
,,,,
59+2,42+2,58+2,47+2,47+2
37+2,58+2,39+2,52+2,52+2
55+2,54+2,55+2,54+2,54+2
60+2,33+2,59+2,40+2,40+2
56+2,50+2,57+2,49+2,49+2
55+2,34+2,57+2,38+2,38+2
59+2,43+2,60+2,45+2,45+2
49+2,57+2,46+2,59+2,59+2
47+2,59+2,44+2,59+2,59+2
53+2,39+2,56+2,38+2,38+2
53+2,58+2,52+2,59+2,59+2
49+2,59+2,50+2,55+2,55+2
46+2,61+2,45+2,58+2,58+2
54+2,56+2,51+2,59+2,59+2
40+2,59+2,41+2,52+2,52+2
53+2,56+2,50+2,58+2,58+2
53+2,39+2,55+2,38+2,38+2
50+2,57+2,50+2,56+2,56+2
60+2,42+2,58+2,47+2,47+2
37+2,59+2,38+2,53+2,53+2
58+2,50+2,57+2,55+2,55+2
,,,,
44+2,58+2,44+2,54+2,54+2
,,,,
55+2,55+2,50+2,58+2,58+2
57+2,41+2,54+2,46+2,46+2
47+2,61+2,44+2,58+2,58+2
53+2,57+2,50+2,58+2,58+2
36+2,59+2,35+2,55+2,55+2
,,,,
60+2,56+2,60+2,58+2,58+2
54+2,59+2,55+2,58+2,58+2
,,,,
57+2,51+2,56+2,54+2,54+2
,,,,
51+2,61+2,52+2,58+2,58+2
58+2,34+2,56+2,44+2,44+2
39+2,58+2,40+2,55+2,55+2
51+2,58+2,50+2,57+2,57+2
40+2,59+2,41+2,54+2,54+2
38+2,58+2,39+2,51+2,51+2
58+2,41+2,58+2,44+2,44+2
40+2,59+2,39+2,55+2,55+2
43+2,59+2,43+2,55+2,55+2
58+2,59+2,57+2,57+2,57+2
55+2,58+2,54+2,58+2,58+2
41+2,58+2,42+2,52+2,52+2
51+2,58+2,47+2,58+2,58+2
,,,,
59+2,50+2,57+2,56+2,56+2
,,,,
38+2,58+2,38+2,55+2,55+2
56+2,54+2,58+2,54+2,54+2
,,,,
52+2,58+2,53+2,55+2,55+2
54+2,59+2,50+2,58+2,58+2
51+2,40+2,55+2,37+2,37+2
